Sample	posterior	ESS(posterior)	likelihood	prior
0	-8325.553517359847	N	-8313.100993529906	-12.452523829941558
1000	-8208.40770031981	2.0	-8202.734272528696	-5.673427791113901
2000	-8210.536646293054	3.0	-8204.302049492058	-6.234596800995614
3000	-8210.405999954835	4.0	-8204.299875311628	-6.10612464320654
4000	-8207.941049483747	5.0	-8202.282705213445	-5.658344270301447
5000	-8211.371779121382	6.0	-8205.244491408843	-6.127287712539253
6000	-8217.789774162406	7.0	-8209.23933262389	-8.550441538514411
7000	-8211.703959695988	8.0	-8205.428675481013	-6.275284214975317
8000	-8210.272031887502	9.0	-8204.071986730482	-6.200045157020171
9000	-8209.190810215612	9.0	-8202.886408058721	-6.304402156891003
10000	-8211.49132025322	10.0	-8204.833023910303	-6.65829634291689
11000	-8210.49917729358	11.0	-8204.306725310362	-6.192451983217512
12000	-8208.562025568324	12.0	-8202.697142047055	-5.864883521269869
13000	-8207.895659589058	13.0	-8201.877956636223	-6.017702952834637
14000	-8209.64802766826	14.0	-8204.188410698847	-5.4596169694118055
15000	-8213.252814733436	15.0	-8206.981632544632	-6.271182188803701
16000	-8216.953224344272	16.0	-8209.887808992235	-7.065415352036582
17000	-8211.598937286888	16.8	-8205.285158524648	-6.313778762239403
18000	-8207.577460401808	18.0	-8201.142550197237	-6.4349102045716675
19000	-8211.225424453627	18.0	-8204.663694091918	-6.561730361708851
20000	-8211.247045042912	19.0	-8205.522354436232	-5.724690606680113
21000	-8206.925808181513	20.0	-8201.389803005199	-5.5360051763149745
22000	-8207.380457837353	21.0	-8201.59891030949	-5.7815475278613615
23000	-8210.88466700197	22.0	-8202.466972429807	-8.417694572162514
24000	-8212.997137874716	23.0	-8205.42495001105	-7.572187863665292
25000	-8213.064695749192	24.0	-8204.35996670086	-8.704729048331714
26000	-8208.846413681584	25.0	-8202.340056528605	-6.5063571529787865
27000	-8208.490921569188	26.0	-8202.341396083182	-6.1495254860062705
28000	-8209.035637362596	27.0	-8203.006419065343	-6.0292182972533235
29000	-8208.355335024546	27.0	-8202.493996416735	-5.861338607811361
30000	-8210.428973261822	28.0	-8204.533193151172	-5.895780110649233
31000	-8218.858206869067	29.0	-8209.888489451336	-8.969717417731315
32000	-8211.927708859603	30.0	-8205.37652250895	-6.55118635065269
33000	-8210.34811218422	31.0	-8204.317816963634	-6.03029522058612
34000	-8212.014924039211	32.0	-8206.118470885283	-5.896453153928476
35000	-8213.270522271383	33.0	-8206.676769268448	-6.5937530029351965
36000	-8208.832946809005	34.0	-8202.319341464728	-6.513605344276967
37000	-8216.492461520975	35.0	-8209.58104655529	-6.911414965684821
38000	-8209.11485812366	36.0	-8203.315429174863	-5.799428948795292
39000	-8209.642185749039	36.0	-8202.872526885012	-6.769658864027294
40000	-8213.618376309407	37.0	-8206.513252383307	-7.105123926100483
41000	-8210.821381033553	38.0	-8204.15285467647	-6.66852635708403
42000	-8213.064978159417	39.0	-8207.15272023447	-5.912257924947095
43000	-8210.840247211521	40.0	-8204.806870793009	-6.03337641851243
