#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-8325.553517359847	-8313.100993529906	-12.452523829941558	-8313.100993529906	3.5338720092411458	-12.452523829941558	1.0	0.5
1000	-8208.40770031981	-8202.734272528696	-5.673427791113901	-8202.734272528696	0.9742261150388432	-5.673427791113901	0.7283479522495037	0.3096549146480368
2000	-8210.536646293054	-8204.302049492058	-6.234596800995614	-8204.302049492058	0.9864382437945991	-6.234596800995614	0.36422541845696726	0.527105220222272
3000	-8210.405999954835	-8204.299875311628	-6.10612464320654	-8204.299875311628	1.0462722261479152	-6.10612464320654	1.3341589598998467	0.03215990135473604
4000	-8207.941049483747	-8202.282705213445	-5.658344270301447	-8202.282705213445	1.0171343687001126	-5.658344270301447	0.8142229460498799	0.09745437115589069
5000	-8211.371779121382	-8205.244491408843	-6.127287712539253	-8205.244491408843	0.992438346145553	-6.127287712539253	1.2197395045733515	0.17163730973215582
6000	-8217.789774162406	-8209.23933262389	-8.550441538514411	-8209.23933262389	1.1164255516780188	-8.550441538514411	1.3632879334229793	0.41938233370877426
7000	-8211.703959695988	-8205.428675481013	-6.275284214975317	-8205.428675481013	1.0519994326271167	-6.275284214975317	0.5979727697537223	0.3869523868164198
8000	-8210.272031887502	-8204.071986730482	-6.200045157020171	-8204.071986730482	1.094737114334899	-6.200045157020171	0.5329239544330897	0.16718031821509644
9000	-8209.190810215612	-8202.886408058721	-6.304402156891003	-8202.886408058721	1.0542769183050635	-6.304402156891003	0.527855006814056	0.5549879656791324
10000	-8211.49132025322	-8204.833023910303	-6.65829634291689	-8204.833023910303	1.0738885551137776	-6.65829634291689	0.7930142222694907	0.4478705452761822
11000	-8210.49917729358	-8204.306725310362	-6.192451983217512	-8204.306725310362	0.9976577559598596	-6.192451983217512	0.4500500504593576	0.4428657005332575
12000	-8208.562025568324	-8202.697142047055	-5.864883521269869	-8202.697142047055	1.078634339018565	-5.864883521269869	0.5929605099493342	0.10569867755872482
13000	-8207.895659589058	-8201.877956636223	-6.017702952834637	-8201.877956636223	1.0698098727420196	-6.017702952834637	0.9949692643578788	0.15131265413762052
14000	-8209.64802766826	-8204.188410698847	-5.4596169694118055	-8204.188410698847	0.9499351137018462	-5.4596169694118055	1.0709905199461034	0.11842683847310902
15000	-8213.252814733436	-8206.981632544632	-6.271182188803701	-8206.981632544632	0.9905778463127248	-6.271182188803701	0.5232924946108333	0.5305633850569884
