Sample	posterior	ESS(posterior)	likelihood	prior
0	-8323.511380565888	N	-8313.100993529906	-10.410387035981923
1000	-8207.604001513513	2.0	-8202.033214988462	-5.570786525050743
2000	-8211.852102873707	3.0	-8205.671314465962	-6.180788407743837
3000	-8213.08659291977	4.0	-8206.10012978475	-6.986463135020022
4000	-8207.26263185001	5.0	-8201.625332784623	-5.637299065386963
5000	-8211.755865035879	6.0	-8204.576530255747	-7.179334780132823
6000	-8211.567798575821	7.0	-8205.482677540353	-6.08512103546855
7000	-8211.42051670589	8.0	-8205.381642844539	-6.038873861350326
8000	-8210.479675566248	9.0	-8203.908505963422	-6.571169602826343
9000	-8214.718934263265	9.0	-8208.23955690507	-6.479377358195623
10000	-8208.24028122417	10.0	-8202.559306386014	-5.680974838157354
11000	-8209.942047196479	11.0	-8204.038929112226	-5.903118084251634
12000	-8207.337451295421	12.0	-8201.860999461904	-5.4764518335182215
13000	-8207.246644008186	13.0	-8201.686437950804	-5.560206057381048
14000	-8212.000765072764	14.0	-8205.807205372857	-6.19355969990705
15000	-8210.564544084507	15.0	-8204.908225100135	-5.6563189843719215
16000	-8207.648603930547	16.0	-8201.807436944058	-5.841166986488757
17000	-8208.616797825523	17.0	-8202.744826210988	-5.87197161453601
18000	-8208.925714506193	18.0	-8203.205815127123	-5.719899379069579
19000	-8208.269070880438	8.5	-8202.01147633856	-6.257594541877611
20000	-8212.360507233168	19.0	-8206.71557694109	-5.6449302920787545
21000	-8210.366971954616	20.0	-8204.316332629045	-6.050639325570884
22000	-8214.449530206146	17.9	-8208.790532843012	-5.658997363134912
23000	-8209.159709980198	20.7	-8202.717932429963	-6.441777550235649
24000	-8208.095387780315	23.0	-8202.021224365102	-6.074163415212638
25000	-8214.038348550164	24.0	-8206.122669964112	-7.91567858605269
26000	-8210.174862876233	25.0	-8204.498434688872	-5.676428187360765
27000	-8208.234460024409	26.0	-8202.053095057332	-6.181364967076905
28000	-8213.513695905061	27.0	-8208.02176279369	-5.491933111370579
29000	-8211.241747475598	27.0	-8205.234489711595	-6.007257764003625
30000	-8208.297741848828	28.0	-8202.515398693442	-5.782343155385923
31000	-8207.975172185887	29.0	-8201.980687189794	-5.994484996092206
32000	-8213.001546729882	30.0	-8207.125458978595	-5.876087751286025
33000	-8209.773457105455	31.0	-8204.291784239787	-5.481672865668525
34000	-8206.782913068622	32.0	-8201.184456426758	-5.598456641864303
35000	-8211.125377406917	33.0	-8205.505959357986	-5.61941804893073
36000	-8210.681988705857	34.0	-8202.368547427559	-8.31344127829777
37000	-8211.630696709395	35.0	-8203.369992015198	-8.260704694197763
38000	-8210.965659857944	36.0	-8205.231442781123	-5.7342170768212455
39000	-8209.890476155188	36.0	-8204.494282993366	-5.396193161821816
40000	-8209.485205650455	37.0	-8203.76166318005	-5.723542470404265
41000	-8209.56925280456	38.0	-8204.158848944591	-5.410403859968557
42000	-8209.849247350545	39.0	-8203.36889035105	-6.4803569994947265
43000	-8210.157641664924	40.0	-8203.499141205424	-6.658500459499761
44000	-8209.738535272903	41.0	-8203.884906935804	-5.853628337099085
45000	-8208.734381170436	42.0	-8202.392302704386	-6.342078466049372
46000	-8208.8948639503	43.0	-8203.222905135766	-5.671958814532787
47000	-8214.49250475202	44.0	-8205.679247934802	-8.813256817216157
48000	-8209.331662450733	45.0	-8203.344259188878	-5.987403261855116
49000	-8209.815113270954	45.0	-8203.373694732703	-6.441418538249612
50000	-8207.560427809909	46.0	-8202.017073954155	-5.543353855753425
51000	-8212.691967423576	47.0	-8205.872692485138	-6.819274938438436
52000	-8209.436986252314	48.0	-8202.058227604077	-7.378758648237715
53000	-8209.671835103183	49.0	-8203.879111676426	-5.792723426756614
54000	-8214.022663419812	50.0	-8208.005563683384	-6.017099736428214
55000	-8208.780311946235	51.0	-8203.073005674476	-5.707306271759677
56000	-8210.15029465946	52.0	-8203.709038773639	-6.441255885820716
57000	-8207.805451197426	53.0	-8202.0256810595	-5.7797701379265884
58000	-8207.74374695614	54.0	-8202.067462421399	-5.67628453473945
59000	-8207.430200985395	54.0	-8201.788607781302	-5.64159320409195
60000	-8210.844683030635	55.0	-8204.68825846663	-6.156424564005645
61000	-8208.717638909791	56.0	-8203.334852470065	-5.3827864397264165
62000	-8210.881288810824	57.0	-8204.977779155468	-5.903509655355535
63000	-8208.101095142263	58.0	-8202.493538792081	-5.60755635018185
64000	-8209.707876766712	59.0	-8203.862355619134	-5.845521147577483
65000	-8210.14079317928	60.0	-8203.2108446087	-6.9299485705795565
66000	-8209.790392800876	61.0	-8203.519976538852	-6.270416262024186
67000	-8210.5067059032	62.0	-8204.210871611618	-6.295834291582418
68000	-8210.984384082372	63.0	-8205.475272540209	-5.509111542164122
69000	-8217.093785004148	63.0	-8210.524414921745	-6.569370082402276
70000	-8211.457108803172	64.0	-8205.25043821606	-6.20667058711113
71000	-8212.559020606024	65.0	-8206.031630190831	-6.527390415191924
72000	-8210.87119860041	66.0	-8203.844523367905	-7.026675232503734
73000	-8212.306607389337	67.0	-8206.423704852508	-5.88290253682924
74000	-8209.843067241622	68.0	-8204.487087378406	-5.355979863215538
75000	-8211.085677142053	69.0	-8204.408412008002	-6.677265134050658
76000	-8210.992180624182	70.0	-8205.2083589569	-5.783821667282124
77000	-8207.8621269355	71.0	-8202.143953287594	-5.718173647907401
78000	-8210.44419564538	72.0	-8204.50514686767	-5.9390487777090275
79000	-8211.737147071099	72.0	-8206.3026693016	-5.434477769498637
80000	-8207.293647305103	73.0	-8201.734036342448	-5.559610962655405
81000	-8211.358569505788	74.0	-8205.197280984987	-6.161288520801353
82000	-8211.126095360874	75.0	-8204.060999048836	-7.06509631203833
83000	-8211.335777706245	76.0	-8203.037738482742	-8.298039223502219
84000	-8212.17585756481	77.0	-8205.423152715808	-6.752704849001687
85000	-8207.701992697743	78.0	-8201.895130092484	-5.806862605258687
86000	-8210.81906352006	79.0	-8204.638535734264	-6.180527785797279
87000	-8208.956555314944	80.0	-8203.156685426417	-5.799869888528436
88000	-8212.623730629293	81.0	-8206.718089125607	-5.9056415036867485
89000	-8208.401747443182	81.0	-8202.786495849678	-5.615251593505084
90000	-8210.252378985824	82.0	-8202.927946684844	-7.324432300979926
91000	-8209.02712541611	83.0	-8203.484401633896	-5.542723782215456
92000	-8210.51510928086	84.0	-8203.143640846867	-7.371468433991993
93000	-8209.720893395686	85.0	-8203.967559358975	-5.753334036712321
94000	-8211.205980248369	86.0	-8205.420832779288	-5.7851474690823395
95000	-8211.72682554519	87.0	-8205.792840206579	-5.933985338612418
96000	-8209.364724449219	88.0	-8203.551086953976	-5.813637495242137
97000	-8211.657752150331	89.0	-8203.637583636819	-8.020168513512667
98000	-8213.771175351276	90.0	-8207.829443239249	-5.941732112026355
99000	-8208.125846447643	90.0	-8202.10427258094	-6.021573866703654
