#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8345.330691627403	-8334.920304591422	-10.410387035981923	-8334.920304591422	3.5338720092411458	-10.410387035981923	1.0
1000	-8213.988593140522	-8208.262623618446	-5.725969522076302	-8208.262623618446	1.105727796745516	-5.725969522076302	0.9137106972389946
2000	-8213.89286774793	-8207.896575276422	-5.996292471508578	-8207.896575276422	1.0690648635743092	-5.996292471508578	1.2146584172593535
3000	-8214.998994773894	-8207.79699804102	-7.201996732875012	-8207.79699804102	1.0219565615210235	-7.201996732875012	1.6001259038070557
4000	-8211.867037526104	-8203.00265874717	-8.864378778934583	-8203.00265874717	0.9688919604734272	-8.864378778934583	2.4689217914922916
5000	-8209.530699444173	-8203.239157501777	-6.291541942394508	-8203.239157501777	1.0365003883934631	-6.291541942394508	1.5800488702614743
6000	-8212.24163822837	-8205.10140426839	-7.140233959980858	-8205.10140426839	1.06008010074082	-7.140233959980858	1.6418594034068397
7000	-8213.226782650623	-8206.596022129246	-6.630760521376583	-8206.596022129246	1.0104695556416041	-6.630760521376583	1.5470804880612894
8000	-8210.021170099131	-8203.840189255303	-6.180980843827563	-8203.840189255303	1.0795880315499453	-6.180980843827563	1.2442871570001581
9000	-8211.477074317272	-8205.28110956565	-6.195964751621039	-8205.28110956565	1.0905916672134772	-6.195964751621039	1.190170603797027
10000	-8208.559211418004	-8202.956801178738	-5.602410239265856	-8202.956801178738	0.9799596290527314	-5.602410239265856	1.0876536732761641
11000	-8209.543737686166	-8203.748514798213	-5.795222887953353	-8203.748514798213	1.0295027712918974	-5.795222887953353	0.6553679505269642
12000	-8211.383329918259	-8205.310616147603	-6.072713770655728	-8205.310616147603	1.0598385719342398	-6.072713770655728	1.1572061726924892
13000	-8217.75562012578	-8212.666765454685	-5.088854671094116	-8212.666765454685	0.9348967178979107	-5.088854671094116	0.8334549189956212
14000	-8208.956021119728	-8202.982454625195	-5.973566494533147	-8202.982454625195	0.9829516431366254	-5.973566494533147	1.4395060613763204
15000	-8210.042414777827	-8203.740552681911	-6.301862095916307	-8203.740552681911	1.024174413110255	-6.301862095916307	1.5794673179571386
16000	-8212.401959705368	-8206.477742585332	-5.924217120036556	-8206.477742585332	1.0925140915667593	-5.924217120036556	0.8239338122618383
17000	-8211.391940814236	-8205.374456267244	-6.0174845469918345	-8205.374456267244	0.979702115458602	-6.0174845469918345	0.5528483178134145
18000	-8211.11454214057	-8205.21497805597	-5.899564084600962	-8205.21497805597	1.0689378577679665	-5.899564084600962	0.8009614195215425
19000	-8210.02817512855	-8204.230322580852	-5.7978525476979375	-8204.230322580852	0.9630419965349244	-5.7978525476979375	1.4965727018617978
20000	-8213.113454592129	-8207.402038375192	-5.711416216937089	-8207.402038375192	1.0393219783603926	-5.711416216937089	0.9712253643253577
21000	-8208.28667355368	-8202.678800518665	-5.607873035017286	-8202.678800518665	1.0067240621975333	-5.607873035017286	1.1256266635459726
22000	-8213.533141215192	-8208.313667093045	-5.219474122147001	-8208.313667093045	0.9317415691044862	-5.219474122147001	1.1094562338115095
23000	-8208.970526054261	-8203.611652236232	-5.358873818029739	-8203.611652236232	0.9809048656470819	-5.358873818029739	1.1311862093277392
24000	-8209.314153983654	-8203.978042021485	-5.336111962168699	-8203.978042021485	0.9475537262307749	-5.336111962168699	1.1565303545865258
25000	-8212.43203420969	-8207.038341651923	-5.393692557768026	-8207.038341651923	0.9375394753270802	-5.393692557768026	1.0114787590426952
26000	-8211.692980096395	-8204.881157976126	-6.811822120270167	-8204.881157976126	0.9978857122907091	-6.811822120270167	1.8043110417292958
27000	-8211.444329293296	-8204.86776361415	-6.576565679146529	-8204.86776361415	0.9700551344421698	-6.576565679146529	1.8123063977729268
28000	-8209.852960483078	-8204.12799269564	-5.724967787438717	-8204.12799269564	0.9968207751374045	-5.724967787438717	1.2512216104738605
29000	-8213.467135761795	-8207.006261351695	-6.460874410100482	-8207.006261351695	0.9310641042135679	-6.460874410100482	1.786953359019346
30000	-8211.386937950942	-8204.808334570358	-6.578603380582567	-8204.808334570358	1.054401368201614	-6.578603380582567	1.4408315277796466
31000	-8211.70050305009	-8206.230599808845	-5.46990324124501	-8206.230599808845	1.100436244052537	-5.46990324124501	0.8960726060339723
32000	-8209.33339179705	-8203.14436935449	-6.189022442560686	-8203.14436935449	1.001766529989752	-6.189022442560686	1.448301709906924
33000	-8210.954079190333	-8205.583824102663	-5.370255087670355	-8205.583824102663	0.960366774412765	-5.370255087670355	1.0121025139266058
34000	-8207.889931872453	-8202.398912510911	-5.491019361541409	-8202.398912510911	1.0347946848913288	-5.491019361541409	0.9887343248308005
35000	-8211.766596343581	-8205.931259334435	-5.835337009146322	-8205.931259334435	0.9938664438450927	-5.835337009146322	1.475769607281564
36000	-8209.791108587762	-8202.275744158776	-7.515364428986407	-8202.275744158776	1.0216410175059523	-7.515364428986407	1.9630156578981972
