Sample	posterior	ESS(posterior)	likelihood	prior
0	-8308.785775305068	N	-8298.375388269087	-10.410387035981923
1000	-8193.03250810374	2.0	-8186.682297693036	-6.350210410703801
2000	-8191.9778023651415	3.0	-8186.189257950579	-5.788544414562198
3000	-8190.007343470875	4.0	-8184.68501522199	-5.322328248884064
4000	-8196.61528019627	5.0	-8188.881399750329	-7.7338804459406045
5000	-8192.522999849609	6.0	-8187.061243984943	-5.461755864665154
6000	-8196.816055579187	7.0	-8191.582282435516	-5.2337731436710175
7000	-8190.425479608832	8.0	-8184.750617734112	-5.6748618747200155
8000	-8191.708053433951	9.0	-8186.362658872784	-5.345394561167348
9000	-8193.99896140888	9.0	-8187.8578322093745	-6.141129199507027
10000	-8192.151639634949	10.0	-8186.807131973564	-5.344507661385878
11000	-8196.075616652159	11.0	-8187.680333050048	-8.395283602110515
12000	-8190.558559784917	12.0	-8185.180361398389	-5.3781983865275125
13000	-8192.607329707023	13.0	-8186.610072848792	-5.997256858232086
14000	-8199.479816934356	14.0	-8193.178146070686	-6.301670863669899
15000	-8195.140846927838	15.0	-8189.3703993751315	-5.770447552705509
16000	-8193.765037187062	16.0	-8188.380119138695	-5.384918048367645
17000	-8195.254769306457	17.0	-8189.58797331625	-5.6667959902068
18000	-8192.966224445276	18.0	-8186.895824271784	-6.070400173491922
19000	-8192.088252456908	18.0	-8186.396008138462	-5.692244318446436
20000	-8193.232024317596	19.0	-8187.71633371965	-5.5156905979469135
21000	-8195.375413869604	20.0	-8190.1752171336375	-5.2001967359656245
22000	-8195.138280168054	21.0	-8189.537686732318	-5.600593435735979
23000	-8202.235069111364	22.0	-8196.199585699445	-6.035483411918983
24000	-8192.51519692006	23.0	-8186.918353751863	-5.596843168196953
25000	-8192.5114627526	24.0	-8185.963592885981	-6.547869866619416
26000	-8195.31820391478	25.0	-8189.491761334942	-5.8264425798374475
27000	-8191.752961849268	26.0	-8186.505190461707	-5.247771387561136
28000	-8194.89268102181	27.0	-8189.270479802737	-5.622201219073128
29000	-8192.894411872272	27.0	-8187.501456182868	-5.392955689403225
30000	-8192.979470838613	28.0	-8187.787233537432	-5.192237301180523
31000	-8194.27060247488	29.0	-8188.494630303932	-5.775972170948876
32000	-8190.349254348571	30.0	-8184.819579678819	-5.529674669751998
33000	-8195.465136828385	31.0	-8189.669031837813	-5.796104990572122
34000	-8194.856804402132	32.0	-8189.243248315075	-5.6135560870567645
35000	-8196.296978542994	33.0	-8190.746046728278	-5.550931814715895
36000	-8196.395630515613	34.0	-8188.7126466712625	-7.682983844350624
37000	-8193.28730309967	35.0	-8187.299913366191	-5.987389733479906
38000	-8194.265096915982	36.0	-8189.030543722091	-5.234553193890317
39000	-8191.893595032377	36.0	-8186.31392834811	-5.579666684267361
40000	-8194.457049806864	37.0	-8186.8462868538645	-7.610762953000503
41000	-8196.167842127728	38.0	-8190.1757073251665	-5.992134802562012
