#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment" name="distribution" x="@birthRate.t:true_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment" id="treeLikelihood.true_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment">
#            <siteModel id="SiteModel.s:true_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8335.647415631665	-8325.237028595684	-10.410387035981923	-8325.237028595684	3.5338720092411458	-10.410387035981923	1.0
1000	-8188.4695874225945	-8182.380666240643	-6.088921181951521	-8182.380666240643	1.166659547022802	-6.088921181951521	1.1585200292471145
2000	-8183.734315612749	-8178.422720458524	-5.311595154224557	-8178.422720458524	0.9484707351224878	-5.311595154224557	0.9024958527441586
3000	-8186.917467360743	-8181.73904247589	-5.1784248848538885	-8181.73904247589	0.9513869845136	-5.1784248848538885	0.8675897671972531
4000	-8183.159458755623	-8177.999365949416	-5.1600928062071	-8177.999365949416	0.922485438438734	-5.1600928062071	0.8765640353115551
5000	-8185.461290652727	-8178.258954459749	-7.202336192978293	-8178.258954459749	1.0080831230909875	-7.202336192978293	0.3493460140014804
6000	-8183.566550677598	-8177.998670091693	-5.567880585904366	-8177.998670091693	0.9851880343697715	-5.567880585904366	1.2604267777264664
7000	-8189.415646880418	-8182.028657036872	-7.386989843545615	-8182.028657036872	0.9970653396538235	-7.386989843545615	0.32346452415676585
8000	-8183.746701158119	-8178.305102383678	-5.441598774441193	-8178.305102383678	0.9914319746322343	-5.441598774441193	0.8964437465587302
9000	-8183.884388555915	-8178.567399963364	-5.3169885925513585	-8178.567399963364	0.9803808456150955	-5.3169885925513585	1.0026650760877909
10000	-8184.459487990849	-8178.61706889404	-5.842419096808618	-8178.61706889404	0.9695514474524454	-5.842419096808618	1.287092602763195
11000	-8187.930129268435	-8181.68322388775	-6.246905380685382	-8181.68322388775	0.9771831428058021	-6.246905380685382	1.414538930051384
12000	-8185.636885528744	-8179.970448714801	-5.666436813943141	-8179.970448714801	0.9561563975154378	-5.666436813943141	1.3032518657073302
13000	-8187.756033589855	-8179.4621499706645	-8.293883619190797	-8179.4621499706645	1.01565585497857	-8.293883619190797	2.374382644827936
14000	-8184.731490057754	-8178.208697973846	-6.522792083907869	-8178.208697973846	0.9497063844444247	-6.522792083907869	1.8820948803736386
15000	-8185.691613454115	-8180.073237760746	-5.618375693368773	-8180.073237760746	1.0093045066818103	-5.618375693368773	0.8259148720840611
16000	-8185.575514016702	-8179.738817397989	-5.836696618712791	-8179.738817397989	1.0026073569539915	-5.836696618712791	0.6446538377072328
17000	-8183.227499532449	-8178.013338453296	-5.214161079153157	-8178.013338453296	0.9329953637042846	-5.214161079153157	0.8028194963519214
18000	-8186.324038795597	-8180.663222179461	-5.660816616135626	-8180.663222179461	1.0635022218239363	-5.660816616135626	1.03416343296282
19000	-8186.552748719723	-8179.485567141558	-7.06718157816512	-8179.485567141558	0.9530810111911845	-7.06718157816512	0.35326790207153425
20000	-8184.83507374212	-8178.741761909531	-6.093311832588387	-8178.741761909531	0.9652007900109438	-6.093311832588387	1.5238962456798797
21000	-8186.641730022491	-8181.034577974548	-5.607152047943256	-8181.034577974548	0.9044257808888907	-5.607152047943256	1.5120016361093103
22000	-8185.026622073125	-8179.815955870355	-5.210666202769591	-8179.815955870355	0.9372295695091317	-5.210666202769591	0.9240790996530864
23000	-8196.178053137819	-8190.382659930256	-5.795393207563648	-8190.382659930256	1.0249799715211465	-5.795393207563648	1.331204986846317
24000	-8184.116795058889	-8178.505794824463	-5.611000234426159	-8178.505794824463	0.9923996840199993	-5.611000234426159	1.4227485107485238
25000	-8185.798461960107	-8180.498702146799	-5.299759813308348	-8180.498702146799	1.0293121705610306	-5.299759813308348	1.0213329448805664
26000	-8185.906322535986	-8179.5826339820405	-6.323688553945885	-8179.5826339820405	1.0443629672785142	-6.323688553945885	0.4816287988744417
27000	-8185.499342071585	-8179.813611562979	-5.685730508605735	-8179.813611562979	0.9927940739061526	-5.685730508605735	0.6653317283167646
28000	-8183.7165658189015	-8178.288615095243	-5.4279507236589435	-8178.288615095243	0.9591784361381923	-5.4279507236589435	0.8559275246575401
29000	-8185.893352339508	-8180.400224955539	-5.493127383968936	-8180.400224955539	1.0254287872390553	-5.493127383968936	0.9507349071175789
30000	-8183.031236763956	-8177.397858389563	-5.63337837439294	-8177.397858389563	0.9708285283318674	-5.63337837439294	1.2393057462258137
31000	-8187.188642853637	-8181.456871361294	-5.731771492343308	-8181.456871361294	1.04670851227389	-5.731771492343308	0.7398079055741078
32000	-8185.764686644058	-8180.18631803054	-5.578368613517916	-8180.18631803054	0.9981890033438008	-5.578368613517916	0.8658155424592098
33000	-8183.232712055317	-8177.724750871382	-5.50796118393597	-8177.724750871382	1.000678281283272	-5.50796118393597	0.8279509501250757
34000	-8184.197753397692	-8177.813614490247	-6.384138907444714	-8177.813614490247	0.930657875940867	-6.384138907444714	1.7338961354929214
35000	-8185.151822480068	-8179.604913542845	-5.546908937224064	-8179.604913542845	1.0213396405847774	-5.546908937224064	1.0443144086198253
36000	-8186.336726148684	-8176.8637746281665	-9.47295152051722	-8176.8637746281665	0.9812808799498479	-9.47295152051722	2.6262512598718795
37000	-8185.456072612286	-8178.462785053949	-6.993287558337364	-8178.462785053949	0.9631403753071242	-6.993287558337364	1.8828175319011062
38000	-8184.333055450296	-8178.125321720131	-6.2077337301652395	-8178.125321720131	1.0062396561227847	-6.2077337301652395	1.4100753184203703
